Gene,SHAP_Importance
UCP2,0.0019783031521910742
SLC43A3,0.0019756439292177674
SEC24C,0.0019711114880192324
DDIT4,0.00196763062478567
FABP4,0.001965382238950042
RBBP7,0.0019641916757882428
KLF6,0.00196358654314281
RPL13A,0.0019622836210510287
KRTCAP2,0.0019608177068403164
PTP4A1,0.001955431245833097
AMFR,0.0019505171530181543
DUSP4,0.0019494682453660061
C8orf85,0.001949259849570808
NDUFA4,0.0019462513336384291
SMARCE1,0.001942663269746845
MYO1C,0.0019413797823631285
MMP2,0.0019391002438385386
GBP4,0.0019360897876686068
KRT6B,0.0019335599977785022
PARD6B,0.0019315732078393922
MRFAP1,0.0019250503672446938
HNRNPA1,0.0019217739568193793
SOX10,0.0019145196420140564
TNFSF10,0.00191341485697194
HIPK2,0.0019048322940125218
TAPBP,0.0019025113223324298
ABHD2,0.0018990079846116714
RAB1B,0.0018973165478655574
FNDC1,0.0018960110310581512
UQCRFS1,0.0018953525792426262
CCL5,0.0018943427750491538
WDR26,0.001892697844950817
UBD,0.0018921548809521483
PLTP,0.0018900736775322002
DSTN,0.0018851196564355632
H1FX,0.001882428778517351
IGFBP2,0.0018816265294663026
ETS1,0.0018795113620944904
DCLK1,0.0018787022467131465
TOP2B,0.001878309139486305
GRLF1,0.0018775997011107393
ALDH3B2,0.0018761855744378409
GSN,0.0018722144720049983
CPNE3,0.001867763418740651
CLTC,0.0018660900080067222
SMARCC1,0.0018659738184396701
RAB7A,0.001863101472008566
ANXA11,0.0018619078804204036
TM4SF1,0.0018618414987713549
MYLK,0.0018611206031346227
TSKU,0.0018607950873445133
YWHAB,0.001858477853165823
NGRN,0.0018562335616661586
CA2,0.0018560530558170286
MED1,0.0018496728205082036
SLPI,0.0018470787980322712
PSMB8,0.0018398076169341949
CHMP2A,0.0018383203125085857
PEA15,0.0018370845924437162
H19,0.001836231501392831
C6orf211,0.001835481449998042
NUCB1,0.0018311744821085086
CD59,0.0018267073106835597
S100A14,0.0018255947311263299
PFDN5,0.0018210213509701134
HSPA9,0.0018163137366582305
SLC30A8,0.0018162935712166472
SFRP2,0.0018162213537289062
PFKFB3,0.0018148641786956432
PTTG1IP,0.0018143463285605322
SH3BGRL3,0.0018141623969859212
CGA,0.0018133224875055021
IDH1,0.0018128645282195065
CDK12,0.0018106886162604495
MMP14,0.001807816054979412
PYGB,0.0018019280606677056
GNG12,0.0017988357872729922
LTBP2,0.001797103303579206
RPL36AL,0.001796318155975314
SET,0.001790995676510647
IRF2BP2,0.0017901677710324294
FCGR3A,0.001789752112235874
UBC,0.0017848356068225256
LYZ,0.0017831532768741454
IGFBP3,0.0017785440472835035
S100A1,0.0017760570480459138
PRPF6,0.0017750527693851837
PRRX1,0.0017737978555760492
SCRIB,0.001769301428066683
CTNNB1,0.0017686163901453255
JUP,0.0017668858786646525
CACNA1H,0.0017667972304593604
COPG,0.0017614772809929492
PLAU,0.0017574744580122115
ERBB3,0.0017568385853974178
SURF4,0.0017562660191742907
ERGIC1,0.0017552796511517955
RPL9,0.0017534708108814811
SLC38A2,0.001752660148213181
AREG,0.0017487237312889192
LIMA1,0.0017479109240412071
SERINC2,0.001747094931737223
ATP2A3,0.0017418032047316957
ZNF652,0.0017396837590422365
LONP2,0.001737271968256664
HSPB8,0.0017354919416698066
SNRPB,0.001734214367934328
DSC3,0.0017314737312881334
ELF3,0.0017310051148706406
SUPT5H,0.0017261014259929651
CIRBP,0.001725238170274679
RNASE1,0.0017243598461936926
AFF3,0.0017225737306989686
MGAT4A,0.0017180605804605876
HDAC2,0.0017160521088771929
PAK1,0.0017143598716756968
PHGDH,0.001713157545600552
FRS2,0.0017101621406618505
HNRNPUL1,0.001704544609401637
LRRC59,0.0017037568319938146
SGK3,0.0017001333916414297
COPB1,0.0016997758866637014
KTN1,0.0016991524264631153
CKAP5,0.0016957818531955127
NNMT,0.0016915500275354134
SH3BP4,0.0016909245473289048
CALML5,0.00169024021961377
EHF,0.0016859418548847316
PDLIM1,0.0016830244286256857
CELSR1,0.0016788607942999079
KLHDC3,0.0016755118112632772
SCP2,0.0016735357387096883
MTDH,0.001673438343463971
CCT4,0.0016723964074844843
KIF13B,0.0016680338015430606
C10orf10,0.0016679407008052748
ACTR3,0.0016650713314083987
TMPRSS3,0.0016646782397037895
IER3,0.0016642829985721618
WHSC1L1,0.0016614016654057195
PTK7,0.0016591094707530374
FOXA1,0.0016576046367845266
CALU,0.001657222122703388
EXOC2,0.001655638912802715
NDUFA13,0.0016553480749644223
RPL35A,0.0016542882618159637
EIF3H,0.0016535599289090896
CYP1B1,0.0016524380502596614
NCSTN,0.0016520436289829377
H3F3B,0.0016519864880683599
EIF4A1,0.0016509198941639625
FLNB,0.0016486579559932579
AGL,0.001646722381356085
CTSZ,0.001641838546456711
ACTG2,0.001640218848378936
CITED4,0.0016367331949004437
NKAIN1,0.0016365426094489522
STC1,0.0016363580583129078
RPS16,0.001633752389016081
RPL14,0.0016324404592251084
LAMP2,0.00163099654522739
SERP1,0.0016292604776026564
IFIT3,0.001628223619209166
RPL36,0.0016240276198732318
FAU,0.0016231847708445457
TM2D2,0.001619846814867927
SLC9A3R2,0.0016145799429068575
SERPINE1,0.0016127978724398417
USP9X,0.0016105818144751538
CRISPLD2,0.001609867257920996
USP14,0.001601887892175
ZNF217,0.0016010028680602773
RTN3,0.001599097081639229
RCN3,0.001597169429605856
HNRNPA2B1,0.00159606199746122
FOS,0.0015942205618557637
ATP6AP2,0.0015914938252808498
KPNB1,0.001589400119153197
CKB,0.0015880168136573048
RPS29,0.0015846495660730398
ASH1L,0.001584052460602834
PPP1R1B,0.0015833969609229826
SEZ6L2,0.0015815233690682363
SCPEP1,0.0015797893442868372
